# Supplementary Table ST12. Abundance data for all histone proteins and non-histone chromatin proteins with abundance values of more than 0.01% of Histone H4.,,,,,,,
SimChrom-SL,Gene,"Abundance relative to histone H4, %",Number of nucleosomes per protein,"Abundance PaxDb_PA, ppm",Entry,Uniquely localized in nucleus,Details (for Figure 4D)
Histone PTM readers,TP53BP1,0.477,104.8,52.1,Q12888,,
Histone PTM readers,MSH6,0.398,125.52,43.5,P52701,,Methylation
Histone PTM readers,WDR5,0.386,129.38,42.2,P61964,Yes,
Histone PTM readers,PWP1,0.365,136.84,39.9,Q13610,,
Histone PTM readers,DNAJC2,0.334,149.59,36.5,Q99543,,
Histone PTM readers,GLYR1,0.329,152.09,35.9,Q49A26,,
Histone PTM readers,DPF2,0.31,161.54,33.8,Q92785,,
Histone PTM readers,BRD4,0.285,175.56,31.1,O60885,,
Histone PTM readers,USP15,0.267,186.99,29.2,Q9Y4E8,,
Histone PTM readers,SMARCA4,0.24,208.4,26.2,P51532,Yes,
Histone PTM readers,BRD2,0.234,214.12,25.5,P25440,Yes,Acetylation
Histone PTM readers,FMR1,0.23,217.53,25.1,Q06787,,
Histone PTM readers,RRP8,0.188,266.34,20.5,O43159,,
Histone PTM readers,ZMYND8,0.168,296.74,18.4,Q9ULU4,,
Histone PTM readers,BRD3,0.165,303.33,18.0,Q15059,Yes,
Histone PTM readers,CBX8,0.158,315.61,17.3,Q9HC52,Yes,
Histone PTM readers,SPIN1,0.153,326.95,16.7,Q9Y657,Yes,
Histone PTM readers,MPHOSPH8,0.132,379.17,14.4,Q99549,,
Histone PTM readers,UIMC1,0.111,451.24,12.1,Q96RL1,Yes,
Histone PTM readers,YEATS4,0.109,458.82,11.9,O95619,Yes,
Histone PTM readers,TRIM24,0.107,466.67,11.7,O15164,,
Histone PTM readers,PHIP,0.102,491.89,11.1,Q8WWQ0,Yes,
Histone PTM readers,PHF2,0.091,549.85,9.93,O75151,,
Histone PTM readers,MLLT1,0.089,558.85,9.77,Q03111,,
Histone PTM readers,SUZ12,0.081,615.56,8.87,Q15022,Yes,
Histone PTM readers,MORC3,0.081,616.25,8.86,Q14149,,
Histone PTM readers,BRD7,0.08,627.59,8.7,Q9NPI1,,
Histone PTM readers,CHD1,0.077,650.77,8.39,O14646,,
Histone PTM readers,CXXC1,0.068,734.86,7.43,Q9P0U4,Yes,
Histone PTM readers,BRD9,0.06,837.42,6.52,Q9H8M2,,
Histone PTM readers,BPTF,0.058,868.04,6.29,Q12830,,
Histone PTM readers,SGF29,0.054,919.19,5.94,Q96ES7,Yes,
Histone PTM readers,PSME4,0.054,920.74,5.93,Q14997,,
Histone PTM readers,PWWP2A,0.054,925.42,5.9,Q96N64,,
Histone PTM readers,ING4,0.053,941.38,5.8,Q9UNL4,Yes,
Histone PTM readers,ING5,0.052,961.27,5.68,Q8WYH8,,
Histone PTM readers,CHD8,0.052,962.96,5.67,Q9HCK8,Yes,
Histone PTM readers,CHD5,0.049,1024.39,5.33,Q8TDI0,,
Histone PTM readers,ZMYND11,0.047,1056.09,5.17,Q15326,,
Histone PTM readers,ZZEF1,0.046,1092.0,5.0,O43149,,
Histone PTM readers,BAZ2A,0.042,1184.38,4.61,Q9UIF9,Yes,
Histone PTM readers,RNF169,0.042,1189.54,4.59,Q8NCN4,,
Histone PTM readers,TDRD3,0.039,1281.69,4.26,Q9H7E2,,
Histone PTM readers,CBX4,0.039,1284.71,4.25,O00257,Yes,
Histone PTM readers,ING1,0.033,1500.0,3.64,Q9UK53,,
Histone PTM readers,SPIN3,0.031,1620.18,3.37,Q5JUX0,,
Histone PTM readers,PHF1,0.024,2076.05,2.63,O43189,,
Histone PTM readers,ATAD2B,0.021,2363.64,2.31,Q9ULI0,Yes,
Histone PTM readers,CBX2,0.02,2563.38,2.13,Q14781,,
Histone PTM readers,L3MBTL2,0.016,3084.75,1.77,Q969R5,Yes,
Histone PTM readers,ING3,0.015,3329.27,1.64,Q9NXR8,,
Histone PTM readers,MSL3,0.015,3349.69,1.63,Q8N5Y2,Yes,
Histone PTM readers,CBX6,0.013,3714.29,1.47,O95503,,
Histone PTM readers,ZZZ3,0.012,4014.71,1.36,Q8IYH5,Yes,
Histone PTM readers,JARID2,0.012,4105.26,1.33,Q92833,,
Histone PTM readers,ING2,0.012,4265.62,1.28,Q9H160,Yes,
Histone PTM readers,MTF2,0.011,4666.67,1.17,Q9Y483,Yes,
Histone PTM readers,CDYL2,0.009,5565.75,0.981,Q8N8U2,,
Histone PTM readers,SETD5,0.008,6586.25,0.829,Q9C0A6,,
Histone PTM readers,MLLT3,0.007,7459.02,0.732,P42568,,
Histone PTM readers,PYGO1,0.007,7510.32,0.727,Q9Y3Y4,,
Histone PTM readers,MBTD1,0.007,7593.88,0.719,Q05BQ5,,
Histone PTM readers,SPIN2A,0.006,8222.89,0.664,Q99865,Yes,
Histone PTM readers,SPIN2B,0.006,8222.89,0.664,Q9BPZ2,Yes,
Histone PTM readers,L3MBTL1,0.002,20147.6,0.271,Q9Y468,Yes,
Histone PTM readers,BRDT,0.002,22195.12,0.246,Q58F21,,
Histone PTM readers,PHF19,0.002,32500.0,0.168,Q5T6S3,,
Histone PTM readers,MORC4,0.001,38181.82,0.143,Q8TE76,Yes,
Histone PTM readers,"FAM156A,FAM156B",0.001,45500.0,0.12,Q8NDB6,,
Histone PTM readers,SPIN4,0.001,57473.68,0.095,Q56A73,,
Histone PTM readers,PHF13,0.001,76901.41,0.071,Q86YI8,,
Histone PTM readers,THAP7,0.0,218400.0,0.025,Q9BT49,,
Histone PTM writers,PARP1,3.965,12.61,433.0,P09874,,Parylation
Histone PTM writers,STK4,2.989,16.73,326.4,Q13043,,Phosporylation
Histone PTM writers,FBL,2.729,18.32,298.0,P22087,Yes,Methylation
Histone PTM writers,TGM2,1.667,30.0,182.0,P21980,,"Serotonyl/
Dopaminylation"
Histone PTM writers,PRMT1,1.474,33.91,161.0,Q99873,,Methylation
Histone PTM writers,PRKDC,1.456,34.34,159.0,P78527,Yes,Phosporylation
Histone PTM writers,PAK2,1.172,42.66,128.0,Q13177,,Phosporylation
Histone PTM writers,CDK1,1.126,44.39,123.0,P06493,,Phosporylation
Histone PTM writers,NAA50,0.872,57.35,95.2,Q9GZZ1,,Acetylation
Histone PTM writers,PRMT5,0.723,69.11,79.0,O14744,,Methylation
Histone PTM writers,HAT1,0.484,103.21,52.9,O14929,,Acetylation
Histone PTM writers,HUWE1,0.43,116.17,47.0,Q7Z6Z7,,Ubiquitination
Histone PTM writers,NAT10,0.429,116.67,46.8,Q9H0A0,,Acetylation
Histone PTM writers,VRK1,0.408,122.42,44.6,Q99986,,Phosporylation
Histone PTM writers,PRKCD,0.388,128.77,42.4,Q05655,,Phosporylation
Histone PTM writers,CDK2,0.379,131.88,41.4,P24941,,Phosporylation
Histone PTM writers,CARM1,0.37,135.15,40.4,Q86X55,,Acetylation
Histone PTM writers,PRKCB,0.354,141.09,38.7,P05771,,Phosporylation
Histone PTM writers,CDK5,0.348,143.68,38.0,Q00535,,
Histone PTM writers,GSK3B,0.334,149.59,36.5,P49841,,
Histone PTM writers,STK10,0.333,150.0,36.4,O94804,,
Histone PTM writers,RBX1,0.327,152.94,35.7,P62877,,
Histone PTM writers,OGA,0.31,161.06,33.9,O60502,,
Histone PTM writers,NEK9,0.292,171.16,31.9,Q8TD19,,
Histone PTM writers,BAZ1B,0.289,172.78,31.6,Q9UIG0,Yes,
Histone PTM writers,RING1,0.271,184.46,29.6,Q06587,,
Histone PTM writers,RNF20,0.266,188.28,29.0,Q5VTR2,Yes,
Histone PTM writers,RNF40,0.209,239.47,22.8,O75150,Yes,
Histone PTM writers,DTX3L,0.204,244.84,22.3,Q8TDB6,,
Histone PTM writers,SETD7,0.201,249.32,21.9,Q8WTS6,,
Histone PTM writers,RNF2,0.181,275.76,19.8,Q99496,,
Histone PTM writers,PKN1,0.157,319.3,17.1,Q16512,,
Histone PTM writers,CDK3,0.143,349.1,15.64,Q00526,,
Histone PTM writers,KAT7,0.142,352.26,15.5,O95251,,
Histone PTM writers,ELP3,0.118,423.26,12.9,Q9H9T3,,
Histone PTM writers,EHMT2,0.104,478.95,11.4,Q96KQ7,,
Histone PTM writers,EZH2,0.091,549.85,9.93,Q15910,Yes,
Histone PTM writers,NEK6,0.089,562.89,9.7,Q9HC98,,
Histone PTM writers,RPS6KA5,0.081,619.05,8.82,O75582,,
Histone PTM writers,RPS6KA4,0.077,645.39,8.46,O75676,,
Histone PTM writers,CDYL,0.072,691.14,7.9,Q9Y232,,
Histone PTM writers,CDK17,0.067,744.88,7.33,Q00537,,
Histone PTM writers,AURKB,0.067,746.92,7.31,Q96GD4,,
Histone PTM writers,DAPK3,0.065,770.1,07.09,O43293,,
Histone PTM writers,PRMT8,0.064,786.74,6.94,Q9NR22,,
Histone PTM writers,EP300,0.063,794.76,6.87,Q09472,,
Histone PTM writers,SETDB1,0.059,845.2,6.46,Q15047,,
Histone PTM writers,PADI4,0.056,889.25,6.14,Q9UM07,,
Histone PTM writers,CHUK,0.056,889.25,6.14,O15111,,
Histone PTM writers,KAT8,0.055,913.04,5.98,Q9H7Z6,,
Histone PTM writers,EHMT1,0.054,926.99,5.89,Q9H9B1,,
Histone PTM writers,HLCS,0.053,949.57,5.75,P50747,,
Histone PTM writers,LIMK2,0.052,959.58,5.69,P53671,,
Histone PTM writers,CREBBP,0.05,1001.83,5.45,Q92793,,
Histone PTM writers,SMYD3,0.049,1026.32,5.32,Q9H7B4,,
Histone PTM writers,SMYD2,0.045,1107.51,4.93,Q9NRG4,,
Histone PTM writers,TLK1,0.045,1109.76,4.92,Q9UKI8,Yes,
Histone PTM writers,SETD2,0.045,1123.46,4.86,Q9BYW2,,
Histone PTM writers,SETMAR,0.045,1123.46,4.86,Q53H47,,
Histone PTM writers,UBR2,0.042,1189.54,4.59,Q8IWV8,,
Histone PTM writers,SETD1A,0.042,1192.14,4.58,O15047,,
Histone PTM writers,NCOA3,0.038,1306.22,4.18,Q9Y6Q9,,
Histone PTM writers,ATM,0.035,1410.85,3.87,Q13315,,
Histone PTM writers,KMT2D,0.034,1463.81,3.73,O14686,,
Histone PTM writers,PRMT6,0.033,1500.0,3.64,Q96LA8,Yes,
Histone PTM writers,SUV39H1,0.032,1573.49,3.47,O43463,,
Histone PTM writers,NSD2,0.03,1644.58,3.32,O96028,,
Histone PTM writers,KMT2A,0.029,1744.41,3.13,Q03164,Yes,
Histone PTM writers,MASTL,0.027,1820.0,3.0,Q96GX5,,
Histone PTM writers,PRMT7,0.027,1832.21,2.98,Q9NVM4,,
Histone PTM writers,NSD3,0.027,1838.38,2.97,Q9BZ95,,
Histone PTM writers,DOT1L,0.02,2493.15,2.19,Q8TEK3,Yes,
Histone PTM writers,SETD1B,0.019,2637.68,02.07,Q9UPS6,,
Histone PTM writers,BUB1,0.017,3016.57,1.81,O43683,,
Histone PTM writers,KAT6A,0.016,3192.98,1.71,Q92794,,
Histone PTM writers,KMT2C,0.014,3592.11,1.52,Q8NEZ4,Yes,
Histone PTM writers,RNF168,0.013,3765.52,1.45,Q8IYW5,Yes,
Histone PTM writers,NCOA1,0.013,3845.07,1.42,Q15788,,
Histone PTM writers,KAT5,0.012,4014.71,1.36,Q92993,,
Histone PTM writers,EZH1,0.01,4789.47,1.14,Q92800,Yes,
Histone PTM writers,MAP3K8,0.01,5009.17,01.09,P41279,,
Histone PTM writers,PRMT2,0.01,5200.0,01.05,P55345,,
Histone PTM writers,ATR,0.01,5200.0,01.05,Q13535,,
Histone PTM writers,RNF8,0.008,6393.44,0.854,O76064,,
Histone PTM writers,KMT2E,0.008,6650.43,0.821,Q8IZD2,,
Histone PTM writers,CLOCK,0.007,7100.13,0.769,O15516,,
Histone PTM writers,SUV39H2,0.006,7867.44,0.694,Q9H5I1,,
Histone PTM writers,PRDM2,0.006,8235.29,0.663,Q13029,,
Histone PTM writers,NSD1,0.006,8680.45,0.629,Q96L73,,
Histone PTM writers,KAT6B,0.005,9115.19,0.599,Q8WYB5,Yes,
Histone PTM writers,HASPIN,0.005,10643.27,0.513,Q8TF76,,
Histone PTM writers,KMT5A,0.004,12551.72,0.435,Q9NQR1,,
Histone PTM writers,JAK2,0.003,14796.75,0.369,O60674,,
Histone PTM writers,ASH1L,0.003,16697.25,0.327,Q9NR48,,
Histone PTM writers,KMT5C,0.002,21752.99,0.251,Q86Y97,,
Histone PTM writers,KAT2B,0.002,30674.16,0.178,Q92831,,
Histone PTM writers,KMT5B,0.001,75833.33,0.072,Q4FZB7,,
Histone PTM erasers,HDAC4,2.28,21.93,249.0,P56524,,Deacetylation
Histone PTM erasers,HDAC2,1.337,37.4,146.0,Q92769,,Deacetylation
Histone PTM erasers,PPP1CC,1.2,41.68,131.0,P36873,,Phosphatase
Histone PTM erasers,HDAC1,1.108,45.12,121.0,Q13547,Yes,Deacetylation
Histone PTM erasers,PPP2CA,0.859,58.21,93.8,P67775,,Phosphatase
Histone PTM erasers,PPP2CB,0.844,59.22,92.2,P62714,,Phosphatase
Histone PTM erasers,PPP5C,0.656,76.26,71.6,P53041,,Phosphatase
Histone PTM erasers,MTA2,0.597,83.74,65.2,O94776,Yes,Deacetylation
Histone PTM erasers,KDM1A,0.418,119.47,45.7,O60341,Yes,
Histone PTM erasers,PPP4C,0.321,155.56,35.1,P60510,,
Histone PTM erasers,BRCC3,0.201,249.32,21.9,P46736,,
Histone PTM erasers,SIRT2,0.191,261.24,20.9,Q8IXJ6,,
Histone PTM erasers,JMJD6,0.182,274.37,19.9,Q6NYC1,,
Histone PTM erasers,KDM3B,0.147,339.13,16.1,Q7LBC6,Yes,
Histone PTM erasers,HDAC6,0.114,436.8,12.5,Q9UBN7,,
Histone PTM erasers,KDM2A,0.101,496.36,11.0,Q9Y2K7,,
Histone PTM erasers,HDAC7,0.09,553.19,9.87,Q8WUI4,,
Histone PTM erasers,SIRT3,0.085,586.47,9.31,Q9NTG7,,
Histone PTM erasers,USP16,0.085,590.27,9.25,Q9Y5T5,,
Histone PTM erasers,SIRT1,0.083,600.66,09.09,Q96EB6,,
Histone PTM erasers,RIOX1,0.075,668.3,8.17,Q9H6W3,Yes,
Histone PTM erasers,PARG,0.068,730.92,7.47,Q86W56,,
Histone PTM erasers,SIRT6,0.062,805.31,6.78,Q8N6T7,,
Histone PTM erasers,PHF8,0.061,817.37,6.68,Q9UPP1,Yes,
Histone PTM erasers,EYA3,0.055,902.48,06.05,Q99504,,
Histone PTM erasers,HDAC3,0.053,943.01,5.79,O15379,,
Histone PTM erasers,USP22,0.042,1192.14,4.58,Q9UPT9,Yes,
Histone PTM erasers,KDM5C,0.039,1269.77,4.3,P41229,,
Histone PTM erasers,USP3,0.035,1433.07,3.81,Q9Y6I4,,
Histone PTM erasers,KDM4B,0.032,1551.14,3.52,O94953,Yes,
Histone PTM erasers,KDM3A,0.031,1634.73,3.34,Q9Y4C1,,
Histone PTM erasers,KDM5A,0.026,1956.99,2.79,P29375,,
Histone PTM erasers,KDM2B,0.025,2000.0,2.73,Q8NHM5,,
Histone PTM erasers,HDAC5,0.021,2363.64,2.31,Q9UQL6,,
Histone PTM erasers,KDM6A,0.02,2551.4,2.14,O15550,Yes,
Histone PTM erasers,KDM1B,0.02,2551.4,2.14,Q8NB78,,
Histone PTM erasers,KDM6B,0.019,2587.68,2.11,O15054,Yes,
Histone PTM erasers,KDM4A,0.017,2873.68,1.9,O75164,Yes,
Histone PTM erasers,HDAC8,0.017,2935.48,1.86,Q9BY41,,
Histone PTM erasers,MYSM1,0.016,3033.33,1.8,Q5VVJ2,,
Histone PTM erasers,HDAC10,0.012,4014.71,1.36,Q969S8,,
Histone PTM erasers,KDM5B,0.01,4963.64,1.1,Q9UGL1,Yes,
Histone PTM erasers,HDAC11,0.008,6423.53,0.85,Q96DB2,,
Histone PTM erasers,HDAC9,0.005,10263.16,0.532,Q9UKV0,Yes,
Histone PTM erasers,PPM1D,0.004,13684.21,0.399,O15297,,
Histone PTM erasers,EYA1,0.002,22377.05,0.244,Q99502,,
Histone PTM erasers,KDM4C,0.001,57473.68,0.095,Q9H3R0,Yes,
Histone PTM erasers,EYA2,0.0,124090.91,0.044,O00167,,
Histone PTM erasers,KDM4D,0.0,420000.0,0.013,Q6B0I6,Yes,
Histone PTM erasers,DUSP1,0.0,455000.0,0.012,P28562,,
DNA de_methylation,MGMT,0.447,111.89,48.8,P16455,,
DNA de_methylation,DNMT1,0.321,156.0,35.0,P26358,Yes,
DNA de_methylation,FTO,0.264,189.58,28.8,Q9C0B1,,
DNA de_methylation,DNMT3B,0.179,280.0,19.5,Q9UBC3,Yes,
DNA de_methylation,N6AMT1,0.095,525.0,10.4,Q9Y5N5,,
DNA de_methylation,DNMT3A,0.077,651.55,8.38,Q9Y6K1,,
DNA de_methylation,ALKBH4,0.046,1096.39,4.98,Q9NXW9,,
DNA de_methylation,ALKBH3,0.019,2663.41,02.05,Q96Q83,,
DNA de_methylation,ALKBH2,0.016,3102.27,1.76,Q6NS38,Yes,
DNA de_methylation,ALKBH1,0.008,5928.34,0.921,Q13686,,
DNA de_methylation,TET2,0.002,22377.05,0.244,Q6N021,,
DNA de_methylation,TET3,0.0,107058.82,0.051,O43151,,
DNA de_methylation,TET1,0.0,237391.3,0.023,Q8NFU7,,
Histone modification,ARRB1,0.408,122.42,44.6,P49407,,
Histone modification,PRKCA,0.342,146.38,37.3,P17252,,
Histone modification,NTMT1,0.33,151.67,36.0,Q9BV86,,
Histone modification,PRKAA1,0.288,173.89,31.4,Q13131,,
Histone modification,PADI2,0.199,251.61,21.7,Q9Y2J8,,
Histone modification,SUDS3,0.174,287.37,19.0,Q9H7L9,,
Histone modification,SETD3,0.163,306.74,17.8,Q86TU7,,
Histone modification,PRMT3,0.158,315.61,17.3,O60678,,
Histone modification,ATF2,0.143,350.0,15.6,P15336,,
Histone modification,MAP3K7,0.138,361.59,15.1,O43318,,
Histone modification,RIOX2,0.131,381.82,14.3,Q8IUF8,Yes,
Histone modification,SMYD5,0.124,404.44,13.5,Q6GMV2,,
Histone modification,FBLL1,0.093,535.29,10.2,A6NHQ2,,
Histone modification,MIER1,0.087,571.73,9.55,Q8N108,,
Histone modification,EED,0.083,600.66,09.09,O75530,,
Histone modification,PRKAA2,0.078,637.11,8.57,P54646,,
Histone modification,SMYD1,0.073,681.65,08.01,Q8NB12,,
Histone modification,DYRK1A,0.07,710.01,7.69,Q13627,,
Histone modification,DCAF1,0.07,710.94,7.68,Q9Y4B6,,
Histone modification,NAA40,0.061,826.02,6.61,Q86UY6,,
Histone modification,CHEK1,0.052,966.37,5.65,O14757,,
Histone modification,USP36,0.048,1034.09,5.28,Q9P275,,
Histone modification,AURKA,0.044,1137.5,4.8,O14965,,
Histone modification,MCM3AP,0.038,1306.22,4.18,O60318,,
Histone modification,RSBN1,0.038,1312.5,4.16,Q5VWQ0,,
Histone modification,KMT2B,0.032,1551.14,3.52,Q9UMN6,,
Histone modification,EEF1AKMT2,0.03,1685.19,3.24,Q5JPI9,,
Histone modification,BAP1,0.029,1711.6,3.19,Q92560,,
Histone modification,BRPF1,0.028,1761.29,3.1,P55201,,
Histone modification,BRD1,0.026,1943.06,2.81,O95696,,
Histone modification,JMJD1C,0.023,2184.0,2.5,Q15652,,
Histone modification,PRMT9,0.022,2284.52,2.39,Q6P2P2,,
Histone modification,PCGF5,0.019,2689.66,02.03,Q86SE9,Yes,
Histone modification,EEF1AKMT1,0.015,3289.16,1.66,Q8WVE0,,
Histone modification,JADE2,0.012,4044.44,1.35,Q9NQC1,,
Histone modification,MSL2,0.012,4265.62,1.28,Q9HCI7,,
Histone modification,MIER3,0.009,5352.94,01.02,Q7Z3K6,Yes,
Histone modification,VCPKMT,0.009,5747.37,0.95,Q9H867,,
Histone modification,PCGF3,0.008,6385.96,0.855,Q3KNV8,Yes,
Histone modification,JADE1,0.008,6523.3,0.837,Q6IE81,,
Histone modification,MECOM,0.007,6859.3,0.796,Q03112,,
Histone modification,SIRT7,0.007,6964.29,0.784,Q9NRC8,,
Histone modification,BRPF3,0.007,7127.94,0.766,Q9ULD4,,
Histone modification,TADA2A,0.005,10092.42,0.541,O75478,,
Histone modification,FBXL19,0.005,10876.49,0.502,Q6PCT2,,
Histone modification,KAT14,0.005,11075.05,0.493,Q9H8E8,,
Histone modification,ANTKMT,0.004,11142.86,0.49,Q9BQD7,,
Histone modification,TRIM37,0.004,12697.67,0.43,O94972,,
Histone modification,EEF2KMT,0.004,14181.82,0.385,Q96G04,,
Histone modification,METTL22,0.003,15644.7,0.349,Q9BUU2,Yes,
Histone modification,METTL21A,0.002,22105.26,0.247,Q8WXB1,,
Histone modification,MIER2,0.001,36400.0,0.15,Q8N344,,
Histone modification,USP51,0.001,37142.86,0.147,Q70EK9,,
Histone modification,HR,0.001,47894.74,0.114,O43593,,
Histone modification,ATPSCKMT,0.001,50555.56,0.108,Q6P4H8,,
Histone modification,BRCA2,0.001,52500.0,0.104,P51587,,
Histone modification,SETBP1,0.0,113750.0,0.048,Q9Y6X0,Yes,
Histone modification,PRDM8,0.0,202222.22,0.027,Q9NQV8,Yes,
Histone modification,PRDM16,0.0,237391.3,0.023,Q9HAZ2,,
Histone modification,PRDM6,0.0,248181.82,0.022,Q9NQX0,Yes,
Histone modification,NAA60,0.0,455000.0,0.012,Q9H7X0,,
Methylated DNA binding,ERH,2.729,18.32,298.0,P84090,,
Methylated DNA binding,WDR77,1.099,45.5,120.0,Q9BQA1,,
Methylated DNA binding,CHTOP,0.962,52.0,105.0,Q9Y3Y2,Yes,
Methylated DNA binding,MECP2,0.471,106.23,51.4,P51608,Yes,
Methylated DNA binding,MBD3,0.364,137.19,39.8,O95983,,
Methylated DNA binding,MBD2,0.262,190.91,28.6,Q9UBB5,Yes,
Methylated DNA binding,UHRF1,0.195,256.34,21.3,Q96T88,Yes,
Methylated DNA binding,LRWD1,0.18,277.16,19.7,Q9UFC0,,
Methylated DNA binding,MBD1,0.104,478.95,11.4,Q9UIS9,,
Methylated DNA binding,ZBTB21,0.062,800.59,6.82,Q9ULJ3,Yes,
Methylated DNA binding,CXXC5,0.028,1813.95,03.01,Q7LFL8,,
Methylated DNA binding,ZBTB33,0.013,3900.0,1.4,Q86T24,,
Methylated DNA binding,CDX2,0.006,8465.12,0.645,Q99626,Yes,
Methylated DNA binding,ZBTB4,0.006,8571.43,0.637,Q9P1Z0,,
Methylated DNA binding,ZBTB38,0.004,11792.66,0.463,Q8NAP3,,
Methylated DNA binding,WT1,0.003,16153.85,0.338,P19544,,
Methylated DNA binding,CDX1,0.003,18762.89,0.291,P47902,,
Methylated DNA binding,ZCWPW1,0.001,60000.0,0.091,Q9H0M4,,
Methylated DNA binding,CXXC4,0.001,85312.5,0.064,Q9H2H0,,
Methylated DNA binding,ZNF445,0.0,107058.82,0.051,P59923,,
Methylated DNA binding,HOXB13,0.0,147567.57,0.037,Q92826,,
Methylated DNA binding,EGR1,0.0,170625.0,0.032,P18146,,
DNA-acting enzymes,RPS3,6.722,7.44,734.0,P23396,,
DNA-acting enzymes,PTGES3,6.603,7.57,721.0,Q15185,,
DNA-acting enzymes,XRCC5,5.989,8.35,654.0,P13010,,
DNA-acting enzymes,XRCC6,5.504,09.08,601.0,P12956,,
DNA-acting enzymes,PCNA,4.478,11.17,489.0,P12004,Yes,
DNA-acting enzymes,NME1,4.286,11.67,468.0,P15531,,
DNA-acting enzymes,G3BP1,3.132,15.96,342.0,Q13283,,
DNA-acting enzymes,DHX9,2.811,17.79,307.0,Q08211,,
DNA-acting enzymes,APEX1,2.793,17.9,305.0,P27695,,
DNA-acting enzymes,DDX3X,2.244,22.29,245.0,O00571,,
DNA-acting enzymes,DDX1,1.786,28.0,195.0,Q92499,,
DNA-acting enzymes,FEN1,1.639,30.5,179.0,P39748,,
DNA-acting enzymes,MCM7,1.255,39.85,137.0,P33993,,
DNA-acting enzymes,MCM3,1.245,40.15,136.0,P25205,,
DNA-acting enzymes,MCM4,1.181,42.33,129.0,P33991,,
DNA-acting enzymes,TOP1,1.181,42.33,129.0,P11387,Yes,
DNA-acting enzymes,MCM6,1.062,47.07,116.0,Q14566,,
DNA-acting enzymes,DKC1,1.044,47.89,114.0,O60832,,
DNA-acting enzymes,MCM5,0.962,52.0,105.0,P33992,,
DNA-acting enzymes,UPF1,0.832,60.13,90.8,Q92900,,
DNA-acting enzymes,RECQL,0.83,60.26,90.6,P46063,Yes,
DNA-acting enzymes,RFC4,0.688,72.7,75.1,P35249,Yes,
DNA-acting enzymes,TOP2A,0.656,76.26,71.6,P11388,,
DNA-acting enzymes,MAP1S,0.636,78.67,69.4,Q66K74,,
DNA-acting enzymes,TOP2B,0.569,87.92,62.1,Q02880,Yes,
DNA-acting enzymes,MRE11,0.564,88.64,61.6,P49959,,
DNA-acting enzymes,RFC5,0.54,92.54,59.0,P40937,Yes,
DNA-acting enzymes,RAD50,0.537,93.17,58.6,Q92878,,
DNA-acting enzymes,MSH2,0.459,108.98,50.1,P43246,,
DNA-acting enzymes,XRCC1,0.457,109.42,49.9,P18887,,
DNA-acting enzymes,RFC3,0.449,111.43,49.0,P40938,,
DNA-acting enzymes,RFC2,0.447,111.89,48.8,P35250,,
DNA-acting enzymes,LIG1,0.409,122.15,44.7,P18858,,
DNA-acting enzymes,REXO2,0.397,126.1,43.3,Q9Y3B8,,
DNA-acting enzymes,TATDN1,0.333,150.0,36.4,Q6P1N9,Yes,
DNA-acting enzymes,PLD3,0.277,180.2,30.3,Q8IV08,,
DNA-acting enzymes,MYO18A,0.267,186.99,29.2,Q92614,,
DNA-acting enzymes,LIG3,0.243,206.04,26.5,P49916,,
DNA-acting enzymes,DHX30,0.241,207.6,26.3,Q7L2E3,,
DNA-acting enzymes,ISG20,0.237,210.81,25.9,Q96AZ6,,
DNA-acting enzymes,POLB,0.228,219.28,24.9,P06746,,
DNA-acting enzymes,RFC1,0.218,229.41,23.8,P35251,,
DNA-acting enzymes,UNG,0.21,238.43,22.9,P13051,,
DNA-acting enzymes,WRNIP1,0.208,240.53,22.7,Q96S55,,
DNA-acting enzymes,DNASE2,0.208,240.53,22.7,O00115,,
DNA-acting enzymes,MPG,0.201,248.18,22.0,P29372,,
DNA-acting enzymes,POLD1,0.188,266.34,20.5,P28340,Yes,
DNA-acting enzymes,MGME1,0.174,287.37,19.0,Q9BQP7,,
DNA-acting enzymes,SUPV3L1,0.168,296.74,18.4,Q8IYB8,,
DNA-acting enzymes,DNASE1,0.168,296.74,18.4,P24855,,
DNA-acting enzymes,DHX36,0.164,305.03,17.9,Q9H2U1,,
DNA-acting enzymes,TERF2,0.16,312.0,17.5,Q15554,,
DNA-acting enzymes,WAPL,0.159,313.79,17.4,Q7Z5K2,,
DNA-acting enzymes,POLD3,0.143,350.0,15.6,Q15054,,
DNA-acting enzymes,HMCES,0.135,371.43,14.7,Q96FZ2,,
DNA-acting enzymes,NIPBL,0.107,466.67,11.7,Q6KC79,,
DNA-acting enzymes,POLE4,0.1,500.92,10.9,Q9NR33,,
DNA-acting enzymes,POLA1,0.096,520.0,10.5,P09884,,
DNA-acting enzymes,ASCC3,0.092,540.59,10.1,Q8N3C0,,
DNA-acting enzymes,APTX,0.078,638.6,8.55,Q7Z2E3,,
DNA-acting enzymes,MLH1,0.077,652.33,8.37,P40692,,
DNA-acting enzymes,CHTF18,0.075,663.43,8.23,Q8WVB6,Yes,
DNA-acting enzymes,RAD9A,0.073,685.07,7.97,Q99638,Yes,
DNA-acting enzymes,NTHL1,0.073,687.66,7.94,P78549,,
DNA-acting enzymes,MSH3,0.071,702.7,7.77,P20585,,
DNA-acting enzymes,ENDOG,0.069,728.0,7.5,Q14249,,
DNA-acting enzymes,TDP2,0.062,805.31,6.78,O95551,,
