# Supplementary Table ST15. List of Pfam domain models in chromatin proteins.,,,,,,
Entry,SimChrom-SL,Total number of Pfam domains,Number of distinct Pfam models,pfamA_ids,Domain annotations,Distinct domain annotations
Q6P1L6,Housekeeping DNA-binding TFs,13,3,"KRAB,zf-C2H2_5,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q6DD87,Housekeeping DNA-binding TFs,5,3,"zf-H2C2_2,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding,DNA binding
P19484,Housekeeping DNA-binding TFs,3,3,"HLH,DUF3371,MITF_TFEB_C_3_N",,
P14780,Histone tail cleavage,9,3,"fn2,Hemopexin,Peptidase_M10",,
Q9NPC7,Housekeeping DNA-binding TFs,8,3,"BTB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
Q14149,Histone PTM readers,3,3,"zf-CW,HATPase_c_3,Morc6_S5",DNA binding,DNA binding
Q13029,Histone PTM writers,5,3,"zf-C2H2_6,PRDM2_PR,zf-C2H2","DNA binding;DNA binding;Histone methylation, writer","DNA binding;Histone methylation, writer"
O15047,Histone PTM writers,3,3,"RRM_1,SET,N-SET","Histone methylation, writer;RNA binding","Histone methylation, writer;RNA binding"
O15111,Histone PTM writers,3,3,"IKKbetaNEMObind,IKBKB_SDD,Pkinase","Histone phosphorylation, writer","Histone phosphorylation, writer"
O15516,Histone PTM writers,3,3,"HLH,PAS,PAS_11",,
O43463,Histone PTM writers,3,3,"Chromo,SET,Pre-SET","Histone methylation, reader;Histone methylation, writer","Histone methylation, reader;Histone methylation, writer"
O95631,Non-Housekeeping DNA-binding TFs,5,3,"Laminin_EGF,Laminin_N,NTR",,
O95251,Histone PTM writers,3,3,"zf-C2HC,MOZ_SAS,zf-MYST","Histone acetylation, writer;Histone acetylation, writer","Histone acetylation, writer"
P53671,Histone PTM writers,4,3,"LIM,PDZ,PK_Tyr_Ser-Thr","Histone phosphorylation, writer","Histone phosphorylation, writer"
P55345,Histone PTM writers,3,3,"SH3_1,MTS,PRMT_C",Dimerization/oligomerization,Dimerization/oligomerization
Q16512,Histone PTM writers,5,3,"Pkinase_C,HR1,Pkinase","Histone phosphorylation, writer;Histone phosphorylation, writer","Histone phosphorylation, writer"
O14744,Histone PTM writers,3,3,"PRMT5,PRMT5_TIM,PRMT5_C",,
O43361,Non-Housekeeping DNA-binding TFs,14,3,"KRAB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q86X55,Histone PTM writers,3,3,"PrmA,CARM1,PRMT_C","Dimerization/oligomerization;Histone methylation, writer","Dimerization/oligomerization;Histone methylation, writer"
P54278,DNA-acting enzymes,3,3,"DNA_mis_repair,MutL_C,HATPase_c_3",,
Q8TD19,Histone PTM writers,5,3,"RCC1,RCC1_2,Pkinase","Histone phosphorylation, writer","Histone phosphorylation, writer"
Q8WTS6,Histone PTM writers,4,3,"SET,MORN,SET7_N","Histone methylation, writer","Histone methylation, writer"
Q92831,Histone PTM writers,3,3,"Bromodomain,Acetyltransf_1,PCAF_N","Histone acetylation, reader","Histone acetylation, reader"
Q92993,Histone PTM writers,3,3,"MOZ_SAS,Tudor-knot,zf-MYST","Histone acetylation, writer;Histone acetylation, writer;RNA binding","Histone acetylation, writer;RNA binding"
O15119,Non-Housekeeping DNA-binding TFs,3,3,"T-box,TBX2-3_TAD,TBX2-3_RD",,
P01106,Non-Housekeeping DNA-binding TFs,3,3,"HLH,Myc_N,Myc-LZ",,
Q9Y483,Histone PTM readers,3,3,"PHD,Mtf2_C,Tudor_2","Histone methylation, reader;Histone methylation, reader","Histone methylation, reader"
Q9H5I1,Histone PTM writers,3,3,"Chromo,SET,Pre-SET","Histone methylation, reader;Histone methylation, writer","Histone methylation, reader;Histone methylation, writer"
Q8TE76,Histone PTM readers,3,3,"zf-CW,HATPase_c_3,Morc6_S5",DNA binding,DNA binding
P23760,Non-Housekeeping DNA-binding TFs,3,3,"Homeodomain,PAX,Pax7",DNA binding,DNA binding
P20823,Non-Housekeeping DNA-binding TFs,3,3,"HNF-1B_C,HNF-1A_C,HNF-1_N",,
Q15326,Histone PTM readers,3,3,"Bromodomain,PWWP,SAMD1_WH","DNA binding;Histone acetylation, reader;Histone methylation, reader","DNA binding;Histone acetylation, reader;Histone methylation, reader"
Q49A26,Histone PTM readers,3,3,"PWWP,NAD_binding_2,NAD_binding_11","Histone methylation, reader","Histone methylation, reader"
Q58F21,Histone PTM readers,4,3,"Bromodomain,BET,BRD4_CDT","Histone acetylation, reader;Histone acetylation, reader","Histone acetylation, reader"
Q5T6S3,Histone PTM readers,3,3,"PHD,Mtf2_C,Tudor_2","Histone methylation, reader;Histone methylation, reader","Histone methylation, reader"
P17040,Non-Housekeeping DNA-binding TFs,13,3,"SCAN,Myb_DNA-bind_4,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P17017,Non-Housekeeping DNA-binding TFs,17,3,"KRAB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P15172,Non-Housekeeping DNA-binding TFs,3,3,"HLH,Basic,Myf5",,
P08048,Non-Housekeeping DNA-binding TFs,9,3,"Zfx_Zfy_act,zf-H2C2_5,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P13349,Non-Housekeeping DNA-binding TFs,3,3,"HLH,Basic,Myf5",,
P0DPD5,Non-Housekeeping DNA-binding TFs,12,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P0DKX0,Non-Housekeeping DNA-binding TFs,13,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9H7E2,Histone PTM readers,3,3,"TUDOR,RMI1_N_C,UBA_7",,
P0CG24,Non-Housekeeping DNA-binding TFs,9,3,"zf-H2C2_2,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9P0U4,Histone PTM readers,3,3,"PHD,zf-CXXC,CpG_bind_C","DNA binding;Histone methylation, reader","DNA binding;Histone methylation, reader"
P0CG00,Non-Housekeeping DNA-binding TFs,6,3,"SCAN,zf-met,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9ULI0,Histone PTM readers,3,3,"AAA,Bromodomain,AAA_lid_3","Histone acetylation, reader","Histone acetylation, reader"
Q96T68,Histone PTM writers,4,3,"SET,MBD,Pre-SET","DNA methylation;Histone methylation, writer;Histone methylation, writer","DNA methylation;Histone methylation, writer"
Q9H7Z6,Histone PTM writers,3,3,"MOZ_SAS,Tudor-knot,zf-MYST","Histone acetylation, writer;Histone acetylation, writer;RNA binding","Histone acetylation, writer;RNA binding"
Q9NQX6,Housekeeping DNA-binding TFs,13,3,"KRAB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9Y2L8,Housekeeping DNA-binding TFs,12,3,"KRAB,SCAN,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P59923,Methylated DNA binding,14,3,"KRAB,SCAN,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q6IE81,Histone modification,3,3,"EPL1,PHD_2,zf-HC5HC2H_2","Histone methylation, reader","Histone methylation, reader"
Q6PCT2,Histone modification,3,3,"zf-CXXC,F-box-like,PHD_4",DNA binding,DNA binding
P18146,Methylated DNA binding,6,3,"DUF3432,DUF3446,zf-C2H2",DNA binding;DNA binding;DNA binding,DNA binding
Q7Z3K6,Histone modification,3,3,"Myb_DNA-binding,ELM2,MIER1_3_C",DNA binding,DNA binding
O95983,Methylated DNA binding,3,3,"MBD,MBD_C,MBDa",DNA methylation;DNA methylation;PPI,DNA methylation;PPI
Q8N108,Histone modification,3,3,"Myb_DNA-binding,ELM2,MIER1_3_C",DNA binding,DNA binding
Q9Y5A6,Housekeeping DNA-binding TFs,7,3,"SCAN,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9UL36,Housekeeping DNA-binding TFs,21,3,"zf-H2C2_2,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P54646,Histone modification,3,3,"AdenylateSensor,AMPK_alpha_AID,Pkinase","Histone phosphorylation, writer","Histone phosphorylation, writer"
Q9UKY1,Housekeeping DNA-binding TFs,6,3,"Homeodomain,Homez,zf_C2H2_ZHX",DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9UDV6,Housekeeping DNA-binding TFs,5,3,"KRAB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9HAZ2,Histone modification,11,3,"zf-C2H2_6,PRDM2_PR,zf-C2H2","DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;Histone methylation, writer","DNA binding;Histone methylation, writer"
Q9NQC1,Histone modification,3,3,"EPL1,PHD_2,zf-HC5HC2H_2","Histone methylation, reader","Histone methylation, reader"
Q9NX65,Housekeeping DNA-binding TFs,8,3,"SCAN,Myb_DNA-bind_4,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9NWS9,Housekeeping DNA-binding TFs,3,3,"KRAB,SCAN,zf-C2H2",DNA binding;DNA binding,DNA binding
Q9Y2J8,Histone modification,3,3,"PAD,PAD_N,PAD_M",,
Q9NUA8,Housekeeping DNA-binding TFs,6,3,"BTB,zf-met,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
Q13131,Histone modification,3,3,"AdenylateSensor,AMPK_alpha_AID,Pkinase","Histone phosphorylation, writer","Histone phosphorylation, writer"
P21980,Histone modification,4,3,"Transglut_N,Transglut_C,Transglut_core",,
O00712,Non-Housekeeping DNA-binding TFs,3,3,"CTF_NFI,MH1,NfI_DNAbd_pre-N",,
A8MUV8,Non-Housekeeping DNA-binding TFs,8,3,"KRAB,zf-C2H2,zf-C2H2_4",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
O00634,Non-Housekeeping DNA-binding TFs,5,3,"Laminin_EGF,Laminin_N,NTR",,
Q9UM07,Histone PTM writers,3,3,"PAD,PAD_N,PAD_M",,
Q9UPS6,Histone PTM writers,3,3,"RRM_1,SET,N-SET","Histone methylation, writer;RNA binding","Histone methylation, writer;RNA binding"
B4DXR9,Non-Housekeeping DNA-binding TFs,10,3,"KRAB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
B4DU55,Non-Housekeeping DNA-binding TFs,13,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
B2RXF5,Non-Housekeeping DNA-binding TFs,4,3,"BTB,zf-C2H2,zf-C2H2_4",DNA binding;DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
P46100,Histone chaperones,3,3,"Helicase_C,ADD_ATRX,SNF2-rel_dom",Chromatin remodeling;Chromatin remodeling,Chromatin remodeling
Q13111,Histone chaperones,3,3,"CAF1A,CAF1-p150_C2,CAF1-p150_N",,
Q8NCD3,Histone chaperones,4,3,"Scm3,HJURP_mid,HJURP_C",,
Q9UBB5,Methylated DNA binding,3,3,"MBD,MBD_C,MBDa",DNA methylation;DNA methylation;PPI,DNA methylation;PPI
Q96HA7,Histone chaperones,4,3,"TPR_8,LRR_6,Ank",,
A6NN14,Non-Housekeeping DNA-binding TFs,34,3,"KRAB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
A6NJL1,Non-Housekeeping DNA-binding TFs,6,3,"SCAN,zf-met,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
A6NGD5,Non-Housekeeping DNA-binding TFs,6,3,"SCAN,zf-met,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
A6NDX5,Non-Housekeeping DNA-binding TFs,18,3,"KRAB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
A0A1W2PQL4,Non-Housekeeping DNA-binding TFs,6,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9ULJ3,Methylated DNA binding,5,3,"BTB,zf_C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
O75478,Histone modification,3,3,"Myb_DNA-binding,SWIRM,TADA2A-like_3rd",DNA binding;DNA binding,DNA binding
Q9BRP0,Non-Housekeeping DNA-binding TFs,4,3,"zf-C2H2_6,zf-C2H2,zf-C2H2_4",DNA binding;DNA binding,DNA binding
Q06330,Housekeeping DNA-binding TFs,3,3,"BTD,LAG1-DNAbind,TIG_SUH",,
P54277,DNA-acting enzymes,3,3,"HMG_box,DNA_mis_repair,HATPase_c",DNA binding,DNA binding
Q93008,DNA repair,3,3,"UCH,DUF3517,UCH_UBL1",,
Q92731,Nuclear hormone receptors,3,3,"Hormone_recep,zf-C4,ERbeta_N",,
P23759,Pioneer TFs,3,3,"Homeodomain,PAX,Pax7",DNA binding,DNA binding
P55317,Pioneer TFs,3,3,"Forkhead,Forkhead_N,HNF_C",,
Q9UH73,Pioneer TFs,3,3,"TIG,COE1_DBD,COE1_HLH",,
Q9Y261,Pioneer TFs,3,3,"Forkhead,Forkhead_N,HNF_C",,
P54727,DNA repair,4,3,"ubiquitin,UBA,XPC-binding",,
P54725,DNA repair,4,3,"ubiquitin,UBA,XPC-binding",,
Q9H9A7,DNA recombination,3,3,"RMI1_N_C,RMI1_C,RMI1_N_N",,
Q2NL82,Preribosome-associated,3,3,"RIBIOP_C,AARP2CN,Tsr1_G-like",,
Q9BQ90,DNA recombination,4,3,"Kelch_1,Kelch_3,Kelch_6",,
Q99728,DNA recombination,5,3,"BRCT,zf-RING_6,Ank",,
Q8NI36,Preribosome-associated,4,3,"Utp21,ANAPC4_WD40,WD40",Histone binding;Histone binding,Histone binding
Q9BS34,Non-Housekeeping DNA-binding TFs,7,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P05455,RNA modification,3,3,"RRM_1,La,RRM_3",RNA binding,RNA binding
P46087,RNA modification,5,3,"Methyltr_RsmB-F,P120R,RsmF-B_ferredox",,
P49588,RNA modification,3,3,"tRNA-synt_2c,DHHA1,tRNA_SAD",,
Q4G0J3,RNA modification,3,3,"RRM_1,La,RRM_3",RNA binding,RNA binding
Q8IY81,RNA modification,3,3,"FtsJ,Spb1_C,DUF3381",,
Q9UNY4,Chromatin remodelers,3,3,"Helicase_C,zf-GRF,SNF2-rel_dom",Chromatin remodeling;Chromatin remodeling,Chromatin remodeling
Q9ULG1,Chromatin remodelers,3,3,"Helicase_C,DBINO,SNF2-rel_dom",Chromatin remodeling;Chromatin remodeling,Chromatin remodeling
Q9NZC9,Chromatin remodelers,4,3,"Helicase_C,HARP,SNF2-rel_dom",Chromatin remodeling;Chromatin remodeling,Chromatin remodeling
Q9NR30,Chromatin remodelers,3,3,"DEAD,Helicase_C,GUCT",Chromatin remodeling,Chromatin remodeling
O43395,RNA processing,3,3,"PWI,Prp3_C,PRP3",,
Q8WVD3,DNA repair,3,3,"zf-Di19,zf-C3HC4_2,zf_C2HC_14",,
Q96PM5,DNA repair,3,3,"zf-CHY,zf-RING_2,zinc_ribbon_6",,
Q9UL58,Non-Housekeeping DNA-binding TFs,6,3,"KRAB,SCAN,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P48443,Nuclear hormone receptors,3,3,"Hormone_recep,zf-C4,Nuc_recep-AF1",,
Q96T60,DNA replication,3,3,"PNK3P,AAA_33,FHA_2",,
Q96ST3,DNA replication,5,3,"PAH,Sin3_corepress,Sin3a_C",,
Q9ULM2,Non-Housekeeping DNA-binding TFs,12,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q96EY1,DNA replication,3,3,"DnaJ,DnaJ_CXXCXGXG,DnaJ_C",,
Q7Z6E9,DNA replication,3,3,"U-box,DWNN,zf-CCHC_2",,
Q7Z2Z1,DNA replication,3,3,"Treslin_M,Treslin_STD,Treslin_N",,
Q9Y2N7,Non-Housekeeping DNA-binding TFs,3,3,"PAS,HIF-1,PAS_11",,
Q7L590,DNA replication,3,3,"zf-primase,Mcm10,MCM10_OB",,
Q9Y2Q1,Non-Housekeeping DNA-binding TFs,12,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9Y2Y4,Non-Housekeeping DNA-binding TFs,3,3,"BTB,zf-met,zf-C2H2",DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
Q6IQ49,DNA replication,3,3,"SDE2_2C,Sde2_C,Sde2_N_Ubi_vert",,
Q14181,DNA replication,3,3,"DNA_pol_E_B,Pol_alpha_B_N,DPOA2_OB",,
Q9Y6R6,Non-Housekeeping DNA-binding TFs,20,3,"KRAB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P23921,DNA replication,3,3,"Ribonuc_red_lgN,Ribonuc_red_lgC,ATP-cone",,
P04150,Nuclear hormone receptors,3,3,"Hormone_recep,zf-C4,GCR",,
P06401,Nuclear hormone receptors,3,3,"Hormone_recep,zf-C4,Prog_receptor",,
P10275,Nuclear hormone receptors,3,3,"Hormone_recep,zf-C4,Androgen_recep",,
Q9UKL0,DNA repair,4,3,"Myb_DNA-binding,ELM2,REST_helical",DNA binding;DNA binding,DNA binding
Q9UGN5,DNA repair,3,3,"PARP,PARP_reg,WGR",,
P19793,Nuclear hormone receptors,3,3,"Hormone_recep,zf-C4,Nuc_recep-AF1",,
P27540,Nuclear hormone receptors,3,3,"HLH,PAS,PAS_11",,
P35869,Nuclear hormone receptors,3,3,"HLH,PAS,PAS_3",,
P37231,Nuclear hormone receptors,3,3,"Hormone_recep,zf-C4,PPARgamma_N",,
O94906,RNA processing,3,3,"PRP1_N,TPR_16,TPR_19",,
P17844,RNA processing,4,3,"DEAD,Helicase_C,P68HR",Chromatin remodeling,Chromatin remodeling
P18583,RNA processing,3,3,"G-patch,DND1_DSRM,RSRP",,
P26599,RNA processing,4,3,"RRM_1,RRM_8,RRM_5",RNA binding,RNA binding
Q15572,Regulation of transcription,3,3,"TAF1C_C,TAF1C_HB,TAF1C_beta-prop",,
Q53T94,Regulation of transcription,3,3,"zf-RRN7,Rrn7_cyclin_C,Rrn7_cyclin_N",,
Q71SY5,Regulation of transcription,3,3,"Med25,Med25_SD1,Med25_VWA",,
Q8TEQ6,Regulation of transcription,7,3,"ANAPC4_WD40,MIOS_WD40,WD40",Histone binding;Histone binding;Histone binding;Histone binding,Histone binding
Q96RN5,Regulation of transcription,3,3,"Med15_N,Med15_M,Med15_C",,
Q7Z460,Centromere-associated,3,3,"HEAT,CLASP_N,CEP104-like_TOG",,
Q6IBW4,SMC complexes,3,3,"CNDH2_N,CNDH2_C,CNDH2_M",,
O43913,Telomere-associated,3,3,"ORC5_C,ORC5_lid,AAA_16",,
Q14008,Centromere-associated,5,3,"HEAT,CLASP_N,XMAP215_CLASP_TOG",,
O94901,Telomere-associated,3,3,"Sad1_UNC,MRP,HTH_SUN2",,
P29590,Telomere-associated,3,3,"zf-C3HC4,PML_CC,ANCHR-like_BBOX",,
P52948,Telomere-associated,3,3,"Nucleoporin2,Nup96,Nup98_GLEBS",,
Q86US8,Telomere-associated,3,3,"EST1_DNA_bind,EST1,PIN_4",,
P49454,Centromere-associated,5,3,"CENP-F_leu_zip,CENP-F_N,CENP-F_C_Rb_bdg",,
Q86V20,Telomere-associated,3,3,"SHLD2_C,SHLD2_OB2,SHLD2_OB1",,
Q8NI27,Telomere-associated,4,3,"Tho2,Thoc2,THOC2_N",,
Q96J01,Telomere-associated,5,3,"PD40,ANAPC4_WD40,WD40",Histone binding;Histone binding;Histone binding,Histone binding
Q9NUX5,Telomere-associated,3,3,"POT1,POT1PC,POT1_C_insert",,
Q9NYB0,Telomere-associated,3,3,"Myb_DNA-bind_2,Rap1_C,BRCT_2",,
Q9UBB9,Telomere-associated,3,3,"G-patch,GCFC,TIP_N",,
Q9UBD5,Telomere-associated,3,3,"ORC3_N,ORC3_ins,ORC_WH_C",,
Q9Y6F1,Telomere-associated,3,3,"PARP,PARP_reg,WGR",,
A6NHR9,X-chromosome inactivation,3,3,"SMC_hinge,HATPase_c_3,SMCHD1_S5",,
Q13263,Regulation of transcription,4,3,"PHD,zf-B_box,zf-RING_5","Histone methylation, reader","Histone methylation, reader"
Q00839,Regulation of transcription,3,3,"SPRY,SAP,AAA_33",,
O95402,Regulation of transcription,3,3,"Med26,Med26_C,Med26_M",,
O14981,Chromatin remodelers,3,3,"Helicase_C,DUF3535,SNF2-rel_dom",Chromatin remodeling;Chromatin remodeling,Chromatin remodeling
P33240,RNA processing,3,3,"RRM_1,CSTF_C,CSTF2_hinge",RNA binding,RNA binding
Q8TD26,Chromatin remodelers,4,3,"Helicase_C,Chromo,SNF2-rel_dom","Chromatin remodeling;Chromatin remodeling;Histone methylation, reader;Histone methylation, reader","Chromatin remodeling;Histone methylation, reader"
P55265,RNA processing,6,3,"dsrm,A_deamin,z-alpha",,
Q86U86,Chromatin remodelers,9,3,"Bromodomain,HMG_box,BAH","DNA binding;Histone acetylation, reader;Histone acetylation, reader;Histone acetylation, reader;Histone acetylation, reader;Histone acetylation, reader;Histone acetylation, reader;Histone methylation, reader;Histone methylation, reader","DNA binding;Histone acetylation, reader;Histone methylation, reader"
Q6ZRS2,Chromatin remodelers,3,3,"Helicase_C,HSA,SNF2-rel_dom",Chromatin remodeling;Chromatin remodeling;DNA binding,Chromatin remodeling;DNA binding
Q07666,RNA processing,3,3,"Qua1,Sam68-YY,KH_1",,
Q5T890,Chromatin remodelers,3,3,"Helicase_C,VIGSSK,SNF2-rel_dom",Chromatin remodeling;Chromatin remodeling,Chromatin remodeling
Q13435,RNA processing,3,3,"SAP,DUF382,PSP",,
Q15459,RNA processing,4,3,"ubiquitin,Surp,PRP21_like_P",,
Q15637,RNA processing,3,3,"SF1-HH,KH_1_3,zf-CCHC",,
Q16637,RNA processing,3,3,"SMN_Tudor,SMN_YG-box,SMN_G2-BD",,
Q96DY7,Centromere-associated,3,3,"MTBP_N,MTBP_mid,MTBP_C",,
Q5VWX1,RNA processing,3,3,"Qua1,Sam68-YY,KH_1",,
Q9Y2Z0,Centromere-associated,4,3,"CS,SGS,TPR_16",,
Q9UKB1,Centromere-associated,9,3,"Beta-TrCP_D,F-box-like,WD40",Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding,Histone binding
Q8WVV9,RNA processing,3,3,"RRM_1,RRM_8,RRM_5",RNA binding,RNA binding
Q96PU8,RNA processing,3,3,"STAR_dimer,Quaking_NLS,KH_1",,
Q9H0L4,RNA processing,3,3,"RRM_1,CSTF_C,CSTF2_hinge",RNA binding,RNA binding
Q9NR56,RNA processing,4,3,"zf-CCCH,zf-CCCH_2,zf-CCCH_10",,
Q9NRR4,RNA processing,3,3,"dsrm,Ribonuclease_3,Ribonucleas_3_3",,
Q9P2I0,RNA processing,3,3,"Beta-Casp,CPSF100_C,Lactamase_B_6",,
Q9UMS4,RNA processing,7,3,"U-box,Prp19,WD40",Histone binding;Histone binding;Histone binding;Histone binding;Histone binding,Histone binding
Q99741,DNA replication,3,3,"Cdc6_C,Cdc6-ORC-like_ATPase_lid,AAA_16",,
Q9UNX4,Preribosome-associated,10,3,"Utp12,ANAPC4_WD40,WD40",Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding,Histone binding
Q9HCZ1,Non-Housekeeping DNA-binding TFs,15,3,"KRAB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P46063,DNA-acting enzymes,3,3,"DEAD,Helicase_C,RecQ_Zn_bind",Chromatin remodeling,Chromatin remodeling
Q9HBZ2,Non-Housekeeping DNA-binding TFs,3,3,"HLH,PAS,PAS_11",,
Q9HBT7,Non-Housekeeping DNA-binding TFs,16,3,"KRAB,SCAN,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P40937,DNA-acting enzymes,3,3,"AAA,Rep_fac_C,RCF1-5-like_lid",,
O94761,DNA-acting enzymes,3,3,"DEAD,Helicase_C,Drc1-Sld2",Chromatin remodeling,Chromatin remodeling
Q9UC07,Non-Housekeeping DNA-binding TFs,13,3,"KRAB,zf-C2H2,zf-C2H2_4",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P35251,DNA-acting enzymes,3,3,"AAA,BRCT,RFC1",,
A2PYH4,DNA-acting enzymes,3,3,"DEAD,Helicase_C,Sec63",Chromatin remodeling,Chromatin remodeling
O14746,DNA-acting enzymes,3,3,"RVT_1,Telomerase_RBD,TERT_C",,
